reward,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum1,Hiss1,CL1,Thre1,Ratio1,Attk1,Release1,Hum2,Hiss2,CL2,Thre2,Ratio2,Attk2,Release2,Hum3,Hiss3,CL3,Thre3,Ratio3,Attk3,Release3
0.356,15,30,2,0,1,0.1,50,15,60,0,0,1,4.6,50,60,57.09,0.69,0,10,0.1,50,15,30,2,-15,1,10,50
0.358,15,30,2,0,1,0.1,50,15,60,0,-15,1,4.85,50,60,50.19,0.59,0,10,0.1,50,15,30,2,-15,1,3.83,50
0.358,15.25,30,2,0,1,0.1,50,15,60,0,-15,1,7.43,50,60,49.12,0.7,0,10,0.1,50,15,30,2,-15,1,5.5,50
0.358,15,30,2,0,1,0.1,50,15,60,0,-15,1,6.28,50,60,52.56,1.21,0,10,0.1,50,15,30,2,-15,1,4.3,50
0.387,15.69,30,2,-4.42,1,0.1,50,15,60,0,-15,1,7.54,50,60,30,1.25,0,10,0.1,50,15,30,2,-15,1,5.95,50
0.387,15,30,2,-5.19,1,0.1,50,15,60,0,-14,1,10,50,60,30,0.09,0,10,0.1,50,15,30,2,-15,1,7.2,50
0.391,15,30,2,-5.7,1,0.1,50,15,60,0,-15,1,10,50,60,30,2,0,10,0.1,50,15,30,2,-15,1,10,50
0.391,15,30,2,-7.16,1,0.1,50,15,60,0,-15,1,10,50,60,30,2,0,10,0.1,50,15,30,2,-15,1,10,50
0.409,15,30,2,-6.51,1,0.1,50,15,36.02,0,-15,1,10,50,60,30,2,0,10,0.1,50,15,30,2,-15,1,10,50
0.399,15,30,2,-0.47,1,0.1,50,15,42.66,0,-15,1,9.65,50,60,30,1.8,0,10,0.1,50,15,30,2,-15,1,10,50
0.39,15,30,2,-6.15,1,0.1,50,15,55.06,0,-15,1,10,50,60,30,1.11,0,10,0.1,50,15,30,2,-15,1,10,50
0.376,15,30,2,-9.98,1,0.1,50,19.6,47.52,0,-9.84,1,10,50,60,30,1.04,0,10,0.1,50,15,30,2,-15,1,10,50
0.344,15,30,2,-15,1,0.1,50,56.93,46.79,0,-6.51,1,10,50,60,30,0,0,10,0.1,50,15,30,2,-15,1,10,50
0.329,15,32.39,2,-8.04,1,0.1,50,60,60,0,-4.38,1,3.84,50,60,30,0,0,10,0.1,50,15,30,2,-15,1,10,50
0.314,60,43.39,0.04,-4.62,2.92,0.1,249.6,15,36.2,1.21,-7.81,8.83,2.72,76.46,25.11,60,2,-11.72,5.4,2.66,91.14,23.61,55.63,0.47,-10.65,6.29,6.84,237.6
0.338,60,54.32,0.65,-15,2.49,0.1,262.3,15,47.43,1.65,-12.57,4.63,4.19,50,23.56,60,1.87,-7.97,1,0.45,257.48,57.36,54.92,1.72,-15,1,10,164.89
0.351,60,46.95,0.43,-14.9,3.61,0.1,202.29,36.76,51.92,2,-15,8.21,3.39,50,15.72,60,2,-15,1,0.1,235.09,51.62,40.26,1.5,-11.86,3.07,6.34,147.95
0.406,60,47.03,0.75,-14.95,4.42,0.1,264.34,15,51.45,2,-15,10,7.28,51.93,15,60,2,-15,1,0.14,131.46,30.88,30,2,-9.24,1,0.99,135.32
0.413,50.51,40.51,0.28,-15,3.2,0.1,300,15,35.59,2,-15,8.18,10,50,15,60,2,-15,1,0.1,50,41.08,30,1.99,-1.99,1,5.92,230.83
0.45,15,30,0.17,-15,7.25,0.1,300,15,58.88,2,-15,4.29,10,50,36.63,60,2,-15,1,0.97,50,15,30,0.85,-7.78,1,9.42,204.01
0.333,47.46,34.26,0,-15,6.52,0.1,300,15,60,2,-15,1,10,121.42,60,60,2,-15,1,8.96,50,15,30,0,-7.98,1,10,144.19
0.39,52.78,30,0,-15,9.79,0.1,300,15,60,1.3,-15,4.14,10,158.24,60,60,2,-15,1,7.5,50,15,30,0,-6.77,1,10,135.9
0.354,59.75,41.16,0.16,-15,9.12,0.1,300,15,60,0.38,-15,6.11,10,79.98,60,60,2,-15,4.13,5.77,50,15,30,0,-4.8,1,10,125.79
0.349,60,40.26,0,-15,6.22,0.1,300,15,60,0.65,-15,5.69,10,50,60,60,2,-8.95,8.49,10,50,15,30,0,-8.58,1,10,140.18
0.32,60,45.39,0,-12.54,10,0.1,300,15,60,0,-15,10,10,50,60,60,2,-10.65,3.3,2.94,50,15,30,0,-7.4,1,10,123.07
0.319,51.09,49.54,0,-13.76,10,0.1,300,15,60,0,-15,10,10,50,60,60,2,-10.19,1,7.82,50,15,30,0,-15,1,10,192.42
